%													
#for correction of metFormula (and metCharges) to balance equation	"#Note: no changes are made to R groups in model.metFormulas, since R groups can represent any CnHn and modification may cause other reactions to have unbalanced R groups"												
#model.mets	model.metFormulas	new_metFormulas	model.metCharges	new_metCharges	refMNXMID	rxn/related rxn(s)	refMNXRID	elementdiff	Notes	MNXNotes	KEGGNotes	ChEBINotes	otherDatabaseNotes
s_0710[m]	C42H44FeN8O8S2R4	C42H45FeN8O8S2R4	0	[]	MNXM746	r_0001	MNXR138960	H2	s_0710[m]: changed metFormula C42H44FeN8O8S2R4 to C42H45FeN8O8S2R4 to balance equation	"| ferricytochrome c is reduced to form ferrocytochrome c, thus 2 H added to metFormula for ferrocytochrome"	[]	[]	[]
s_2920[p]	C37H64N7O17P3S	C37H62N7O18P3S	0	[]	[]	r_2277; r_2289	[]	O-1H2	"| 3-oxo, in IUPAC nomenclature, indicates an ""=O"" group bonded to carbon-3 of the S-acyl group i.e. 3-oxo-cis-hexadec-9-enoyl-CoA should have -2C and 1O as compared to hexadecenoyl-CoA (C37H64N7O17P3S)"	[]	[]	"| metFormula deduced with reference to ChEBIID CHEBI:53152/CHEBI:24549 (hexadecenoyl-CoA) and CHEBI:88090 ((7Z)-3-oxohexadecenoyl-CoA, an isomer)"	[]
s_2909[p]	[]	C35H60N7O18P3S	0	[]	[]	r_2278	[]	no metFormula for (R)-3-hydroxy-cis-tetradec-7-enoyl-CoA	"| 3-hydroxy, in IUPAC nomenclature, indicates an ""-OH"" functional group bonded to carbon-3 of the S-acyl group i.e. (R)-3-hydroxy-cis-tetradec-7-enoyl-CoA should have 2 more H atoms compared to 3-oxo-cis-tetradec-7-enoyl-CoA (C35H58N7O18P3S, which has an ""=O"" group bonded to the same numbered carbon)"	[]	[]	[]	[]
s_2921[p]	C35H60N7O17P3S	C35H58N7O18P3S	0	[]	[]	r_2278; r_2290	[]	O-1H2	"| 3-oxo, in IUPAC nomenclature, indicates an ""=O"" group bonded to carbon-3 of the S-acyl group i.e. 3-oxo-cis-tetradec-7-enoyl-CoA should have -2C and 1O as compared to cis-tetradec-11-enoyl-CoA (C35H60N7O17P3S)"	[]	[]	"| metFormula deduced with reference to ChEBIID CHEBI:15461(cis-tetradec-11-enoyl-CoA) and CHEBI:88080 ((5Z)-3-oxotetradecenoyl-CoA, an isomer)"	[]
s_2910[p]	[]	C33H56N7O18P3S	0	[]	[]	r_2279	[]	no metFormula for (R)-3-hydroxy-cis-dodec-5-enoyl-CoA	"| 3-hydroxy, in IUPAC nomenclature, indicates an ""-OH"" functional group bonded to carbon-3 of the S-acyl group i.e. (R)-3-hydroxy-cis-dodec-5-enoyl-CoA should have 2 more H atoms compared to 3-oxo-cis-dodec-5-enoyl-CoA (C33H54N7O18P3S, which has an ""=O"" group bonded to the same numbered carbon)"	[]	[]	[]	[]
s_2922[p]	[]	C33H54N7O18P3S	0	[]	[]	r_2279; r_2291	[]	no metFormula for 3-oxo-cis-dodec-5-enoyl-CoA	"| 3-oxo, in IUPAC nomenclature, indicates an ""=O"" group bonded to carbon-3 of the S-acyl group i.e. 3-oxo-cis-dodec-5-enoyl-CoA should have -2C and 1O as compared to dodecenoyl-CoA and cis-dodec-3-enoyl-CoA (C33H56N7O17P3S)"	[]	[]	| metFormula deduced with reference to ChEBIID CHEBI:23869 (odecenoyl-CoA) and CHEBI:27989 (cis-dodec-3-enoyl-CoA)	[]
s_2911[p]	C39H64N7O18P3S	C39H68N7O18P3S	-4	0	MNXM149457	r_2280	[]	H-4	"| 3-hydroxy, in IUPAC nomenclature, indicates an ""-OH"" functional group bonded to carbon-3 of the S-acyl group i.e. (R)-3-hydroxy-cis-octadec-9-enoyl-CoA should have 2 more H atoms compared to 3-oxo-cis-octadec-9-enoyl-CoA (C39H66N7O18P3S, which has an ""=O"" group bonded to the same numbered carbon)"	| metFormula in MNX database (C39H64N7O18P3S) with metCharge -4 is a conjugate base of (R)-3-hydroxy-cis-octadec-9-enoyl-CoA (C39H68N7O18P3S)	[]	| Verified via reference to ChEBIID CHEBI:87781	[]
s_2917[p]	C41H72N7O18P3S	C41H68N7O18P3S	0	-4	MNXM36762	r_2286	[]	H4	| s_2917[p]: changed C41H72N7O18P3S to C41H68N7O18P3S to balance equation	| based on metFormula in MNXM36762	[]	[]	[]
s_2923[p]	C39H68N7O17P3S	C39H66N7O18P3S	0	[]	[]	r_2292	[]	O-1H2	"| 3-oxo, in IUPAC nomenclature, indicates an ""=O"" group bonded to carbon-3 of the S-acyl group i.e. 3-oxo-cis-octadec-9-enoyl-CoA should have -2C and 1O as compared to trans-9-octadecenoyl-CoA (C39H68N7O17P3S)"	[]	[]	| metFormula deduced with reference to ChEBIID CHEBI:78146 (trans-9-octadecenoyl-CoA) and CHEBI:76896 ((11Z)-3-oxooctadecenoyl-CoA)	[]
s_2924[p]	C37H64N7O17P3S	C37H62N7O18P3S	0	[]	MNXM150996	r_2293	[]	O-1H2	"| 3-oxo, in IUPAC nomenclature, indicates an ""=O"" group bonded to carbon-3 of the S-acyl group i.e. 3-oxo-cis-hexadec-7-enoyl-CoA should have -2C and 1O as compared to hexadecenoyl-CoA (C37H64N7O17P3S)"	| metFormula in MNX database (C37H58N7O18P3S) with metCharge -4 is a conjugate base of cis-tetradec-5-enoyl-CoA (C37H62N7O18P3S)	[]	| Changes based on ChEBIID CHEBI:88090	[]
s_2925[p]	C35H60N7O17P3S	C35H58N7O18P3S	0	[]	MNXM147795	r_2294	[]	O-1H2	"| 3-oxo, in IUPAC nomenclature, indicates an ""=O"" group bonded to carbon-3 of the S-acyl group i.e. 3-oxo-cis-tetradec-5-enoyl-CoA should have -2C and 1O as compared to cis-tetradec-11-enoyl-CoA (C35H60N7O17P3S)"	| metFormula in MNX database (C35H54N7O18P3S) with metCharge -4 is a conjugate base of cis-tetradec-5-enoyl-CoA (C35H60N7O17P3S)	[]	| Changes based on ChEBIID CHEBI:88080	[]
s_2933[p]	C35H54N7O17P3S	C35H58N7O17P3S	0	[]	MNXM147629	r_2302	[]	H4	"| all related reactions (r_2302, 2304) can be corrected by adding 4 H atoms to old trans-2,trans-4-tetradecadienoyl-CoA metFormula"	[]	[]	| Verified via ChEBIID CHEBI:88084	[]
s_2941[erm]	C19H35O7P	[]	-2	0	[]	r_2313	[]	H-2	| metFormula determined based on acylglycerone phosphate (16:0) (C19H35O7P)	[]	[]	[]	[]
s_2942[erm]	C21H39O7P	C21H41O7P	-2	0	MNXM33006	r_2314	[]	[]	s_2942[erm]: changed metFormula C21H39O7P to C21H41O7P to balance equation | changed metCharges -2 to 0 to balance equation	| metFormula in MNX database (C21H39O7P) with metCharge -2 is a conjugate base of acylglycerone phosphate (18:0) (C21H41O7P)	| Verified based on KEGGID C03805	| Verified based on CHEBI:36476	[]
s_2943[erm]	C35H65O8P	C21H39O7P	0	[]	MNXM32961	r_2315	[]	C-14O-1H-28	s_2943[erm]: changed C35H65O8P to C21H39O7P to balance equation	| metFormula in MNX database (C21H37O7P) with metCharge -2 is a conjugate base of acylglycerone phosphate (18:1) (C21H39O7P)	| Verified based on KEGGID C03630	| Verified based on ChEBIID CHEBI:36475	[]
s_2935[erm]	C19H37O7P	C19H39O7P	-2	0	MNXM2455	r_2332	[]	H-2	"| Conjugate acid of phosphatidate C19H39O7P is most likely to be predominant due to the neutral ? acidic conditions in the compartments where reaction occurs (erm, vm, gm); reference literature: https://doi.org/10.1038/s41598-018-30367-z"	| metFormula in MNX database (C19H37O7P) with metCharge -2 is a conjugate base of 1-acyl-sn-glycerol 3-phosphate (C19H39O7P)	[]	| based on metFormula in model ChEBIID CHEBI:15799	[]
s_2936[erm]	C19H35O7P	C19H37O7P	-2	0	MNXM66496	r_2334	[]	H-2	"| Conjugate acid of phosphatidate C19H37O7P is most likely to be predominant due to the neutral – acidic conditions in the compartments where reaction occurs (erm, vm, gm); reference literature: https://doi.org/10.1038/s41598-018-30367-z"	| metFormula in MNX database (C19H35O7P) with metCharge -2 is a conjugate base of 1-acyl-sn-glycerol 3-phosphate (C19H37O7P)	[]	| based on metFormula in model ChEBIID CHEBI:75070	[]
s_2954[erm]	C35H65O8P	C35H67O8P	-2	0	MNXM66470	r_2344	[]	H-2	"| Conjugate acid of phosphatidate C35H67O8P is most likely to be predominant due to the neutral ? acidic conditions in the compartments where reaction occurs (erm, vm, gm); reference literature: https://doi.org/10.1038/s41598-018-30367-z"	"| metFormula in MNX database (C35H65O7P) with metCharge -2 is a conjugate base of phosphatidate (1-16:0, 2-16:1) (C35H67O8P)"	[]	[]	| Reference to LMGP10010911
s_2967[erm]	C35H68O5	C35H66O5	0	[]	MNXM49375	r_2344	[]	H-2	"| Incorrect metFormula of diglyceride (1-16:0, 2-16:0) (C35H68O5) was previously registered"	| based on metFormula in MNXM49375	[]	[]	[]
s_2955[erm]	C37H71O8P	C37H69O8P	0	-2	MNXM66476	r_2345	[]	H2	s_2955[erm]: changed metFormula C37H71O8P to C37H69O8P to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM66476			
s_3090[erm]	C48H83N3O15P2	C48H87N3O15P2	0	[]	[]	r_2438	[]	H4	"| metFormula determined based on CDP-diacylglycerol (1-16:0, 2-16:1) (C44H79N3O15P2)"	[]	[]	[]	| reference to LMGP13010015
s_3088[erm]	C46H83N3O15P2	C46H81N3O15P2	0	-2	MNXM32787	r_2450	[]	H1	s_3088[erm]: changed metFormula C46H83N3O15P2 to C46H81N3O15P2 to balance equation | changed metCharges 0 to -2 to balance equation	| based on metFormula in MNXM32787			
s_3126[erm]	C25H41O12P	C25H47O12P	0	[]	[]	r_2462	[]	H-6	s_3126[erm]: changed C25H41O12P to C25H47O12P to balance equation	[]	[]	| Changes based on ChEBIID CHEBI:138108	[]
s_3127[erm]	C27H45O12P	C27H51O12P	0	[]	[]	r_2463	[]	H-6	s_3127[erm]: changed C27H45O12P to C27H51O12P to balance equation	[]	[]	| Changes based on alternative ChEBIID CHEBI:90456	[]
s_3220[mm]	C40H74O13P2	C38H74O13P2	0	[]	[]	r_2536	[]	C-2H-1	"| metFormula determined based on 3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1) (C42H76O13P2)"	[]	[]	[]	[]
s_3221[mm]	C40H72O13P2	C38H72O13P2	0	[]	[]	r_2537	[]	C-2H-1	"| metFormula determined based on 3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1) (C42H76O13P2)"	[]	[]	[]	[]
s_3222[mm]	C42H76O13P2	C40H78O13P2	0	[]	[]	r_2538	[]	C-2H1	"| metFormula determined based on 3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1) (C42H76O13P2)"	[]	[]	[]	[]
s_3223[mm]	C42H74O13P2	C40H76O13P2	0	[]	[]	r_2539	[]	C-2H1	"| metFormula determined based on 3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1) (C42H76O13P2)"	[]	[]	[]	[]
s_3104[mm]	C46H81N3O15P2	C46H83N3O15P2	-2	0	MNXM32787	r_2540	[]	C-2H-1	"| metFormula determined based on CDP-diacylglycerol (1-16:0, 2-16:1) (C44H79N3O15P2)"	"| metFormula in MNX database (C46H81N3O15P2) with metCharge -2 is a conjugate base of CDP-diacylglycerol (1-16:0, 2-18:1)(C46H83N3O15P2)"	| Verified via current KEGGID C13892	| Verified via ChEBIID CHEBI:34077	[]
s_3224[mm]	C42H76O13P2	C40H78O13P2	0	[]	MNXM725269	r_2540	[]	C-2H-1	"| based on reaction, this metabolite is deduced to be PGP (16:0, 18:1), a product formed when CDP-DAG reacts with G3P"	| metFormula in MNX database (C40H75O13P2) with metCharge -3 is a conjugate base of 1-acyl-sn-glycerol 3-phosphate (C19H37O7P)	[]	[]	| Changes based on reference to LMGP05010001
s_3225[mm]	C42H74O13P2	C40H76O13P2	0	[]	[]	r_2541	[]	C-2H1	"| metFormula determined based on 3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1) (C42H76O13P2)"	[]	[]	[]	[]
s_3234[mm]	C73H140O17P2	C73H138O17P2	0	[]	MNXM120766	r_2548	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	"| metFormula in MNX database (C73H136O17P2) with metCharge -2 is a conjugate base of cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-16:1) (C73H138O17P2)"	[]	[]	| Verified via reference to PubChem CID 131766957
s_3236[mm]	C75H144O17P2	C75H142O17P2	0	[]	MNXM120785	r_2550	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	"| metFormula in MNX database (C75H140O17P2) with metCharge -2 is a conjugate base of cardiolipin (1-16:0, 2-16:1, 3-18:0, 4-16:1) (C75H142O17P2)"	[]	[]	| Verified via reference to PubChem CID 131766967
s_3238[mm]	C75H144O17P2	C75H142O17P2	0	[]	MNXM120768	r_2552	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	"| metFormula in MNX database (C75H140O17P2) with metCharge -2 is a conjugate base of cardiolipin (1-16:0, 2-16:1, 3-18:0, 4-16:1) (C75H142O17P2)"	[]	[]	| Verified via reference to PubChem CID 131766959
s_3240[mm]	C73H138O17P2	C73H136O17P2	0	[]	[]	r_2554	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3242[mm]	C75H142O17P2	C75H140O17P2	0	[]	[]	r_2556	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3244[mm]	C75H142O17P2	C75H140O17P2	0	[]	[]	r_2558	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3246[mm]	C75H144O17P2	C75H142O17P2	0	[]	[]	r_2560	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3248[mm]	C77H148O17P2	C77H146O17P2	0	[]	[]	r_2562	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3250[mm]	C77H148O17P2	C77H146O17P2	0	[]	[]	r_2564	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3252[mm]	C75H142O17P2	C75H140O17P2	0	[]	[]	r_2566	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3254[mm]	C77H146O17P2	C77H144O17P2	0	[]	[]	r_2568	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3256[mm]	C77H146O17P2	C77H144O17P2	0	[]	[]	r_2570	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3258[mm]	C75H144O17P2	C75H142O17P2	0	[]	[]	r_2572	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3260[mm]	C77H148O17P2	C77H146O17P2	0	[]	[]	r_2574	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3262[mm]	C77H148O17P2	C77H146O17P2	0	[]	[]	r_2576	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3264[mm]	C75H142O17P2	C75H140O17P2	0	[]	[]	r_2578	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3266[mm]	C77H146O17P2	C77H144O17P2	0	[]	[]	r_2580	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3268[mm]	C77H146O17P2	C77H144O17P2	0	[]	[]	r_2582	[]	H-1	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3308[mm]	C77H146O17P2	C77H144O17P2	0	[]	[]	r_2672	[]	H-2	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3310[mm]	C79H150O17P2	C79H148O17P2	0	[]	[]	r_2688	[]	H-2	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3312[mm]	C79H150O17P2	C79H148O17P2	0	[]	[]	r_2704	[]	H-2	"| Deduced with reference to s_3235 [mm], cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)"	[]	[]	[]	[]
s_3297[mm]	C24H51NO7P	C24H50NO7P	1	0	MNXM32510	r_2812	[]	H1	s_3297[mm]: changed metFormula C24H51NO7P to C24H50NO7P to balance equation | changed metCharges 1 to 0 to balance equation	| Changes based on reference to MNXM32510	[]	| Changes based on reference to CHEBI:72998	| Changes based on reference to LMGP01050018
s_3299[mm]	C24H49NO7P	C24H48NO7P	1	0	MNXM32519	r_2814	[]	H1	s_3299[mm]: changed metFormula C24H49NO7P to C24H48NO7P to balance equation | changed metCharges 1 to 0 to balance equation	| Changes based on reference to MNXM32519	[]	| Changes based on reference to CHEBI:73851	| Changes based on reference to LMGP01050022
s_3301[mm]	C26H55NO7P	C26H54NO7P	1	0	MNXM32545	r_2816	[]	H1	s_3301[mm]: changed metFormula C26H55NO7P to C26H54NO7P to balance equation | changed metCharges 1 to 0 to balance equation	| Changes based on reference to MNXM32545	[]	| Changes based on reference to CHEBI:73858	| Changes based on reference to LMGP01050026
s_3303[mm]	C26H53NO7P	C26H52NO7P	1	0	MNXM13872	r_2818	[]	H1	s_3303[mm]: changed metFormula C26H53NO7P to C26H52NO7P to balance equation | changed metCharges 1 to 0 to balance equation	| Changes based on reference to MNXM13872	[]	| Changes based on reference to CHEBI:28610	| Changes based on reference to LMGP01050032
s_3479[ce]	C22H44NP10	C22H44NO9P	0	[]	MNXM78597	r_3058	[]	O9P-9	s_3479[ce]: changed C22H44NP10 to C22H44NO9P to balance equation	| metFormula in MNX database (C22H43NO9P) with metCharge -1 is a conjugate base of 1-acylglycerophosphoserine (16:0) (C22H44NO9P)	[]	[]	| Changes based on reference to LMGP03050002
s_3481[ce]	C22H42NP10	C22H42NO9P	0	[]	MNXM78629	r_3059	[]	O9P-9	s_3481[ce]: changed C22H42NP10 to C22H42NO9P to balance equation	| metFormula in MNX database (C22H41NO9P) with metCharge -1 is a conjugate base of 1-acylglycerophosphoserine (16:1) (C22H42NO9P)	[]	[]	| Changes based on reference to LMGP03050010
s_3483[ce]	C24H48NP10	C24H48NO9P	0	[]	MNXM78757	r_3060	[]	O9P-9	s_3483[ce]: changed C24H48NP10 to C24H48NO9P to balance equation	| metFormula in MNX database (C24H47NO9P) with metCharge -1 is a conjugate base of 1-acylglycerophosphoserine (18:0) (C24H48NO9P)	[]	[]	| Changes based on reference to LMGP03050006
s_3485[ce]	C24H46NP10	C24H46NO9P	0	[]	MNXM32944	r_3061	[]	O9P-9	s_3485[ce]: changed C24H46NP10 to C24H46NO9P to balance equation	| metFormula in MNX database (C24H45NO9P) with metCharge -1 is a conjugate base of 1-acylglycerophosphoserine (18:1) (C24H46NO9P)	[]	[]	| Changes based on reference to LMGP03050001
s_3454[ce]	C42H82NO7P	C42H82NO8P	0	[]	MNXM69528	r_3106	[]	O-1H-2	"| metFormula determined based on phosphatidylcholine (1-16:1, 2-16:1) (C40H76NO8P)"	| Verified via MNXMID MNXM69528	[]	| Verified via ChEBIID CHEBI:86097	| Verified via reference to LMGP01010744
s_3456[ce]	C42H80NO7P	C42H80NO8P	0	[]	MNXM69658	r_3107	[]	O-1H-2	"| metFormula determined based on phosphatidylcholine (1-16:1, 2-16:1) (C40H76NO8P)"	| Verified via MNXMID MNXM69658	[]	| Verified via ChEBIID CHEBI:86100	| Verified via reference to LMGP01010887
s_3461[ce]	C44H86NO7P	C44H86NO8P	0	[]	MNXM32526	r_3110	[]	O-1H-2	"| metFormula determined based on phosphatidylcholine (1-16:1, 2-18:1) (C42H80NO8P)"	| Verified via MNXMID MNXM32526	[]	| Verified via ChEBIID CHEBI:75034	| Verified via reference to LMGP01010761
s_3462[ce]	C44H84NO7P	C44H84NO8P	0	[]	MNXM8549	r_3111	[]	O-1H-2	"| metFormula determined based on phosphatidylcholine (1-16:1, 2-18:1) (C42H80NO8P)"	| Verified via MNXMID MNXM8549	[]	| Verified via ChEBIID CHEBI:74669	| Verified via reference to LMGP01010890
s_2955[erm]	C37H69O8P	C37H71O8P	-2	0	MNXM66476	r_3228	[]	H3	"| Conjugate acid of phosphatidate C35H71O8P is most likely to be predominant due to the neutral ? acidic conditions in the compartments where reaction occurs (erm, vm, gm); reference literature: https://doi.org/10.1038/s41598-018-30367-z"	"| metFormula in MNX database (C37H69O7P) with metCharge -2 is a conjugate base of phosphatidate (1-16:0, 2-18:1) (C37H71O8P)"	[]	[]	| Reference to LMGP10010032
s_3754[m]	C20H28N6O13PR	C5H8NO3R	0	[]	MNXM91213	r_4155	[]	[]	s_3754[m]: changed C20H28N6O13PR to C5H8NO3R to balance equation	[]	[]	[]	| Reference to MetaCycID 6.3.5.7-RXN
s_3756[m]	C20H29N7O12PR	C5H10N2O2R	1	[]	MNXM89810	r_4155	[]	[]	s_3756[m]: changed C20H29N7O12PR to C5H10N2O2R to match s_0747[c] with same metName but different compartment	[]	[]	[]	| Reference to MetaCycID 6.3.5.7-RXN
s_3808[m]	R	RH	-1	0	MNXM90667	r_4187	MNXR103208	O1H-1	"| tRNA(Pro) should be uncharged, with an additional H atom"	[]	[]	[]	| Reference to BioCycID PROLINE--TRNA-LIGASE-RXN
s_3809[m]	C5H8NOR	C5H9NOR	0	1	MNXM247	r_4187	MNXR103208	O1H-1	"| Pro-tRNA(Pro) should be charged (+1), with an additional H atom"	[]	[]	[]	| Reference to BioCycID PROLINE--TRNA-LIGASE-RXN
s_1582[c]	R	RH	[]	0	MNXM89576	r_4218	[]	[]	s_1582[c]: changed metFormula R to RH to balance equation | changed metCharges [] to 0 to balance equation	[]	[]	[]	| Reference to MetaCycID RXN-19726
s_3856[c]	[]	C2H5NOR	0	1	0	r_4218	[]	[]	s_3856[c]: changed metFormula 0 to C2H5NOR to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	| Reference to MetaCycID RXN-19726
s_1612[c]	R	RH	0	[]	MNXM90668	r_4219	[]	O1	"| tRNA(Tyr) should be uncharged, with an additional H atom"	[]	[]	[]	| Reference to MetaCycID RXN-19727
s_3857[c]	C9H10NO3R	C9H11NO2R	0	1	[]	r_4219	[]	O1	| Deduced with reference to s_1612[c] and s_3858[c] i.e. tRNA(Tyr) and D-tyrosine; reference to EC 3.1.1.96 found in model.rxnNames	[]	[]	[]	| Reference to MetaCycID RXN-19727
s_3908[m]	C14H17N3O15P2R2	C14H19N3O15P2R2	-2	0	MNXM201	r_4251	MNXR107177	H2	| reference to 19118367 - conjugate acid of CDP-diacylglycerol (C14H17N3O15P2R2) more likely to be prevalent in neutral/acidic conditions in mitochondria	| metFormula in MNX database (C14H17N3O15P2R2) with metCharge -2 is a conjugate base of CDP-diacylglycerol (C14H19N3O15P2R2)	[]	[]	[]
s_3932[er]	C50H66N4O29	C50H82N4O37	0	[]	MNXM9328	r_4271	MNXR109973	H-1R1	s_3932[er]: changed C50H66N4O29 to C50H82N4O37 to balance equation	| based on other metFormulas in r_4271 to determine glycan G00012 formula	[]	[]	[]
s_3943[p]	C10H14N5O8P	C10H12N5O8P	-2	[]	MNXM2497	r_4279	MNXR113234	H4	s_3943[p]: changed C10H14N5O8P to C10H12N5O8P to balance equation	[]	[]	[]	[]
s_3942[p]	C10H16N5O14P3	C10H12N5O14P3	-4	[]	MNXM4425	r_4279; r_4253; r_4320; r_4321	MNXR113234	H4	s_3942[p]: changed C10H16N5O14P3 to C10H12N5O14P3 to balance equation	[]	[]	[]	[]
s_0412[c]	C6H14NO8P	C6H13NO8P	0	-1	MNXM162238	r_4286	MNXR100613	H-2	s_0412[c]: changed metFormula C6H14NO8P to C6H13NO8P to balance equation | changed metCharges 0 to -1 to balance equation	[]	[]	[]	[]
s_3953[c]	C6H13NO5	C6H14NO5	0	1	MNXM533	r_4286	MNXR100613	H-2	s_3953[c]: changed metFormula C6H13NO5 to C6H14NO5 to balance equation | changed metCharges 0 to 1 to balance equation	[]	[]	[]	[]
s_3964[c]	C7H16NO2	C7H15NO2	1	0	MNXM626	r_4297	MNXR108074	H-1	s_3964[c]: changed metFormula C7H16NO2 to C7H15NO2 to balance equation | changed metCharges 1 to 0 to balance equation	| based on metFormula in MNXM626	[]	[]	[]
s_3968[c]	C5H6N2O2	C5H5N2O2	0	-1	MNXM1330	r_4299	MNXR95745	H-1	s_3968[c]: changed metFormula C5H6N2O2 to C5H5N2O2 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM1330	[]	[]	[]
s_3972[c]	C10H9NO3	C10H8NO3	0	-1	MNXM1961	r_4301	MNXR109205	H-1	s_3972[c]: changed metFormula C10H9NO3 to C10H8NO3 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM1961	[]	[]	[]
s_3980[c]	C2H3ClO2	C2H2ClO2	0	-1	MNXM1468	r_4305	MNXR109457	H-1	s_3980[c]: changed metFormula C2H3ClO2 to C2H2ClO2 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM1468	[]	[]	[]
s_3982[c]	C10H14O2	C10H13O2	0	-1	MNXM2414	r_4306	MNXR110183	H-1	s_3982[c]: changed metFormula C10H14O2 to C10H13O2 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM2414	[]	[]	[]
s_3984[c]	C15H24O2	C15H23O2	0	-1	MNXM3989	r_4307	MNXR111724	H-1	s_3984[c]: changed metFormula C15H24O2 to C15H23O2 to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM3989	[]	[]	[]
s_4012[m]	CHNS	CNS	0	-1	MNXM762	r_4326	MNXR138187	H-1	s_4012[m]: changed metFormula CHNS to CNS to balance equation | changed metCharges 0 to -1 to balance equation	| based on metFormula in MNXM762	[]	[]	[]
%													
#for modification of H+/H2O/other met coefficient to balance equation	"#Note: some modifications of H+/H2O may not directly lead to elemental balance e.g. model.S(601, 63), as there may be changes in metFormula for the same reaction"												
#model.S	model.mets	model.rxns	current_coef	new_coef	elementdiff	Notes	refNotes						
"601, 56"	s_0794[c]	r_0073	2	1	H-1	"model.S(601, 56): change 2 to 1 to balance equation"	[]						
"601, 57"	s_0794[c]	r_0074	-2	-1	O-1H-14	"model.S(601, 57): change -2 to -1 to balance equation"	[]						
"610, 57"	s_0803[c]	r_0074	1	0	O-1H-14	"model.S(610, 57): change 1 to 0 to balance equation"	[]						
"601, 63"	s_0794[c]	r_0080	-2	-1	H1	"model.S(601, 63): change -2 to -1 to balance equation"	[]						
